time,open,high,low,close,SMA50,SMA100,SMA200,Basis_BB,Upper_BB,Lower_BB,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram(Signal-MACD),MACD(fast-slow),Signal_sma9,OnBalanceVolume,StochasticOscillator,StochasticOscillator_SMA3,Accumulation/Distribution,Aroon Up,Aroon Down
10/12/2007,151.28,152.25,150.86,152.08,150.2371986,149.0745992,148.5767998,146.4129975,152.4398488,140.3861462,59.22163817,47.62528554,NaN,NaN,NaN,NaN,59.22163817,NaN,1.028729122,0.319597033,-0.709132089,3964581405,98.53321829,96.84369327,5539679253,100,28.57142857
11/12/2007,152.14,152.89,147.83,147.91,150.1093986,149.0186992,148.6188498,146.6234975,152.5498646,140.6971304,49.47692929,48.3735754,NaN,NaN,NaN,NaN,NaN,NaN,0.768473472,0.251459751,-0.517013721,3714235037,59.28045789,84.12362392,5297248976,100,21.42857143
12/12/2007,151.06,151.77,147.2,149.37,150.0149986,148.9726992,148.6610498,146.6879975,152.7037736,140.6722214,52.42839499,49.70034516,NaN,NaN,NaN,NaN,NaN,NaN,0.662952928,0.31167744,-0.351275489,4036670621,71.21831562,76.34399727,5281021364,92.85714286,14.28571429
13/12/2007,148.32001,149.39,147.3,149.06,149.9205986,148.9502992,148.7037999,146.7574975,152.8486923,140.6663027,51.73728816,50.48042995,NaN,NaN,NaN,NaN,NaN,NaN,0.545480644,0.330575316,-0.214905328,3799063565,68.683565,66.39411284,5443594613,85.71428571,7.142857143
14/12/2007,147.92999,149.10001,147.10001,147.17,149.7835986,148.9058992,148.7462999,146.838998,152.9064234,140.7715726,47.61614546,51.34007949,NaN,NaN,NaN,NaN,NaN,NaN,0.324600161,0.190844873,-0.133755288,3639910685,52.09380235,63.99856099,5295580843,78.57142857,0
17/12/2007,146.61,146.87,144.86,145.07001,149.5679986,148.8763993,148.7848999,146.802999,152.9033472,140.7026508,43.47262087,51.60126834,NaN,NaN,43.47262087,NaN,NaN,NaN,0.036343442,-0.088325985,-0.124669427,3462641373,10.62868571,43.80201769,5155354644,71.42857143,0
18/12/2007,146.10001,146.48,143.96001,145.88,149.3851986,148.8840993,148.8157999,146.9089995,152.8661555,140.9518435,45.44459224,51.28898756,NaN,NaN,NaN,NaN,NaN,NaN,-0.093407211,-0.241428441,-0.14802123,3708210621,21.50047201,28.07432002,5283985691,64.28571429,100
19/12/2007,145.94,146.89,144.94,145.88,149.1731986,148.8690993,148.8473999,146.9709995,152.8578007,141.0841983,45.44459224,50.96968855,NaN,NaN,NaN,NaN,NaN,NaN,-0.168486365,-0.358629186,-0.190142821,3708210621,21.50047201,17.87654324,5276845076,57.14285714,92.85714286
20/12/2007,146.84,146.86,145.17999,146.8,148.9847986,148.8798993,148.8776998,147.227,152.5934863,141.8605137,47.84146339,50.61138887,NaN,NaN,NaN,NaN,NaN,NaN,-0.146266444,-0.372975876,-0.226709432,3923024365,31.80283517,24.93459306,5476315073,50,85.71428571
21/12/2007,147.37,148.42,147.09,148.13,148.8379986,148.8968994,148.9144498,147.427,152.6119759,142.2420241,51.1806981,50.64343939,NaN,NaN,NaN,NaN,NaN,NaN,-0.03772754,-0.273868857,-0.236141317,4069114685,46.69646887,33.33325868,5558696832,42.85714286,78.57142857
24/12/2007,148.82001,149.48,148.48,149.23,148.6959986,148.9131993,148.9556498,147.841,152.1373062,143.5446938,53.81432684,51.06333658,NaN,NaN,NaN,NaN,NaN,NaN,0.104632568,-0.105350607,-0.209983175,4114716013,59.01451177,45.8379386,5581497496,35.71428571,71.42857143
26/12/2007,148.64999,149.67999,148.5,149.55,148.5867988,148.9706993,149.0121498,148.1899995,151.7953446,144.5846544,54.58192459,51.1690068,NaN,NaN,NaN,NaN,54.58192459,NaN,0.210712142,0.053407003,-0.15730514,4181834077,62.59794244,56.10297436,5633827846,28.57142857,64.28571429
27/12/2007,149.02,149.03,147.32001,147.67,148.4645988,148.9852992,149.0540998,148.2169995,151.7981945,144.6358045,49.38859766,50.61894225,NaN,NaN,NaN,NaN,NaN,NaN,0.147611799,0.027209609,-0.12040219,4058852397,41.54528728,54.38591383,5561188400,21.42857143,57.14285714
